Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
Blackies,North Orange County,Beach Break,32.632222,-117.279167,32.632222° N,-117.279167° W,2024-04-21,0,1,2,1-2,3,POOR TO FAIR,1.7,13,1.5,18,0.7,5,5,5kts,56.0,9,58,1017,100
Blackies,North Orange County,Beach Break,32.632222,-117.279167,32.632222° N,-117.279167° W,2024-04-21,3,1,2,1-2,3,POOR TO FAIR,1.7,13,1.5,18,0.7,5,4,4kts,56.0,9,58,1015,100
Blackies,North Orange County,Beach Break,32.632222,-117.279167,32.632222° N,-117.279167° W,2024-04-21,6,0,1,0-1,3,POOR TO FAIR,1.6,13,1.5,18,0.7,5,3,3kts,50.0,8,57,1015,100
Blackies,North Orange County,Beach Break,32.632222,-117.279167,32.632222° N,-117.279167° W,2024-04-21,9,1,2,1-2,3,POOR TO FAIR,1.0,6,1.6,18,1.4,13,5,5kts,49.0,8,59,1016,100
Blackies,North Orange County,Beach Break,32.632222,-117.279167,32.632222° N,-117.279167° W,2024-04-21,12,1,2,1-2,2,POOR,1.2,6,1.6,17,1.4,13,7,7kts,47.0,10,63,1014,100
Blackies,North Orange County,Beach Break,32.632222,-117.279167,32.632222° N,-117.279167° W,2024-04-21,15,1,2,1-2,2,POOR,1.0,6,1.7,17,1.3,12,8,8kts,47.0,11,63,1014,100
Blackies,North Orange County,Beach Break,32.632222,-117.279167,32.632222° N,-117.279167° W,2024-04-21,18,1,2,1-2,3,POOR TO FAIR,1.8,16,0.9,6,0.6,8,7,7kts,53.0,14,59,1013,100
Blackies,North Orange County,Beach Break,32.632222,-117.279167,32.632222° N,-117.279167° W,2024-04-21,21,1,2,1-2,3,POOR TO FAIR,1.0,8,1.8,16,1.4,12,4,4kts,55.0,19,56,1014,100
Blackies,North Orange County,Beach Break,32.632222,-117.279167,32.632222° N,-117.279167° W,2024-04-22,0,1,2,1-2,3,POOR TO FAIR,1.0,8,1.9,16,1.3,12,3,3kts,59.0,21,56,1013,100
Blackies,North Orange County,Beach Break,32.632222,-117.279167,32.632222° N,-117.279167° W,2024-04-22,3,1,2,1-2,3,POOR TO FAIR,1.0,8,1.9,16,1.3,12,3,3kts,53.0,21,55,1012,100
