Surf Break,Surf Break Type,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Primary Swell (ft),Primary Swell (seconds),Wind (kts),Wave Energy,Consistency,w/nw
Blacks Beach,Beach Break,2024-04-21,0,3,4+,3-4+,1.3,17,1,44,28,w 
Blacks Beach,Beach Break,2024-04-21,3,3,4+,3-4+,1.3,17,2,41,29,w
Blacks Beach,Beach Break,2024-04-21,6,3,4+,3-4+,1.2,16,3,37,30,w
Blacks Beach,Beach Break,2024-04-21,9,3,4+,3-4+,1.3,16,6,37,30,nw
Blacks Beach,Beach Break,2024-04-21,12,3,4+,3-4+,1.3,16,7,39,31,nw
Blacks Beach,Beach Break,2024-04-21,15,3,5,3-5,1.4,16,8,43,32,nw
Blacks Beach,Beach Break,2024-04-21,18,3,4+,3-4+,1.4,16,6,43,32,nw
Blacks Beach,Beach Break,2024-04-21,21,3,4+,3-4+,1.5,16,3,38,34,w
Blacks Beach,Beach Break,2024-04-22,0,3,4+,3-4+,1.4,16,3,40,38,w
Blacks Beach,Beach Break,2024-04-22,3,3,4+,3-4+,1.4,16,2,38,40,w
Blacks Beach,Beach Break,2024-04-22,6,3,4,3-4,1.4,16,3,36,41,w
Blacks Beach,Beach Break,2024-04-22,9,3,4,3-4,1.4,16,3,32,44,w
Blacks Beach,Beach Break,2024-04-22,12,3,4,3-4,1.4,8,5,32,47,w
Blacks Beach,Beach Break,2024-04-22,15,3,4,3-4,1.4,8,7,34,48,nw
Blacks Beach,Beach Break,2024-04-22,18,3,4,3-4,1.5,15,9,35,46,nw
Blacks Beach,Beach Break,2024-04-22,21,3,4,3-4,1.5,15,7,35,44,nw
Blacks Beach,Beach Break,2024-04-23,0,3,4,3-4,1.7,15,6,41,41,nw
Blacks Beach,Beach Break,2024-04-23,3,3,4,3-4,1.7,15,7,44,39,nw
Blacks Beach,Beach Break,2024-04-23,6,3,4,3-4,1.7,15,5,40,38,w
Blacks Beach,Beach Break,2024-04-23,9,3,4,3-4,1.6,15,6,36,39,nw
Blacks Beach,Beach Break,2024-04-23,12,3,4,3-4,1.3,11,8,40,43,nw
Blacks Beach,Beach Break,2024-04-23,15,3,4,3-4,1.3,11,9,42,44,nw
Blacks Beach,Beach Break,2024-04-23,18,2,3+,2-3+,1.3,11,7,45,43,nw
Blacks Beach,Beach Break,2024-04-23,21,2,3+,2-3+,1.3,11,5,44,44,w
Blacks Beach,Beach Break,2024-04-24,0,2,3+,2-3+,1.2,11,3,43,44,w
Blacks Beach,Beach Break,2024-04-24,3,2,3+,2-3+,1.2,10,4,49,44,w
Blacks Beach,Beach Break,2024-04-24,6,2,3+,2-3+,1.6,15,1,42,42,w
Blacks Beach,Beach Break,2024-04-24,9,2,3+,2-3+,1.5,16,5,53,39,w
Blacks Beach,Beach Break,2024-04-24,12,2,3+,2-3+,1.5,16,9,49,33,nw
Blacks Beach,Beach Break,2024-04-24,15,2,3+,2-3+,1.5,16,10,41,28,nw
Blacks Beach,Beach Break,2024-04-24,18,2,3+,2-3+,1.5,16,11,39,30,nw
Blacks Beach,Beach Break,2024-04-24,21,2,3+,2-3+,2,4,10,31,34,nw
Blacks Beach,Beach Break,2024-04-25,0,2,3+,2-3+,2.2,5,8,35,36,nw
