Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Surf (ft),Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-21,0,3,4+,3-4+,3-4+,4,FAIR,1.3,17,1.0,13,0.7,5,1,1kts,44.0,28,58,1017,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-21,3,3,4+,3-4+,3-4+,4,FAIR,1.3,17,1.0,13,0.6,5,2,2kts,41.0,29,58,1015,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-21,6,3,4+,3-4+,3-4+,4,FAIR,1.2,16,1.0,13,0.7,4,3,3kts,37.0,30,59,1015,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-21,9,3,4+,3-4+,3-4+,4,FAIR,1.3,16,1.0,13,0.6,5,6,6kts,37.0,30,59,1015,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-21,12,3,4+,3-4+,3-4+,4,FAIR,1.3,16,0.9,13,0.6,6,7,7kts,39.0,31,58,1014,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-21,15,3,5,3-5,45356,4,FAIR,1.4,16,1.1,6,0.8,13,8,8kts,43.0,32,58,1014,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-21,18,3,4+,3-4+,3-4+,4,FAIR,1.4,16,1.2,6,0.9,12,6,6kts,43.0,32,58,1013,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-21,21,3,4+,3-4+,3-4+,4,FAIR,1.5,16,0.9,6,0.7,9,3,3kts,38.0,34,58,1014,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-22,0,3,4+,3-4+,3-4+,4,FAIR,1.4,16,1.1,9,0.9,12,3,3kts,40.0,38,58,1013,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-22,3,3,4+,3-4+,3-4+,4,FAIR,1.4,16,1.1,8,0.8,12,2,2kts,38.0,40,58,1012,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-22,6,3,4,3-4,45355,4,FAIR,1.4,16,1.1,8,0.8,12,3,3kts,36.0,41,58,1012,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-22,9,3,4,3-4,45355,4,FAIR,1.4,16,1.2,8,0.4,12,3,3kts,32.0,44,58,1013,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-22,12,3,4,3-4,45355,4,FAIR,1.4,8,1.4,15,0.5,12,5,5kts,32.0,47,57,1013,100
Blacks Beach,North San Diego County,Beach Break,32.630278,-117.277778,32.630278° N,-117.277778° W,2024-04-22,15,3,4,3-4,45355,4,FAIR,1.4,8,1.4,15,0.8,12,7,7kts,34.0,48,57,1012,100
