Surf Break,Surf Break Type,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Primary Swell (ft),Primary Swell (seconds),Wind (kts),Wave Energy,Consistency,w/nw
Cardiff Reef,Reef Break,2024-04-21,0,2,3,2-3,1.8,18,2,108,0,w 
Cardiff Reef,Reef Break,2024-04-21,3,2,3,2-3,1.2,16,2,72,0,w
Cardiff Reef,Reef Break,2024-04-21,6,2,3+,2-3+,1.2,16,5,67,0,w
Cardiff Reef,Reef Break,2024-04-21,9,2,3+,2-3+,1.2,16,7,61,0,nw
Cardiff Reef,Reef Break,2024-04-21,12,2,3,2-3,2,16,8,104,0,nw
Cardiff Reef,Reef Break,2024-04-21,15,2,3,2-3,2.1,16,8,107,1,nw
Cardiff Reef,Reef Break,2024-04-21,18,1,2,1-2,2.2,16,6,131,2,nw
Cardiff Reef,Reef Break,2024-04-21,21,1,2,1-2,2.2,16,3,123,11,w
Cardiff Reef,Reef Break,2024-04-22,0,1,2,1-2,2.2,16,2,133,20,w
Cardiff Reef,Reef Break,2024-04-22,3,1,2,1-2,2.3,16,2,121,18,w
Cardiff Reef,Reef Break,2024-04-22,6,1,2,1-2,2.2,16,3,116,19,w
Cardiff Reef,Reef Break,2024-04-22,9,1,2,1-2,2.2,16,3,104,43,w
Cardiff Reef,Reef Break,2024-04-22,12,2,3,2-3,2.1,16,6,103,70,w
Cardiff Reef,Reef Break,2024-04-22,15,2,3,2-3,2.1,15,7,97,77,nw
Cardiff Reef,Reef Break,2024-04-22,18,2,3,2-3,2.2,15,10,104,75,nw
Cardiff Reef,Reef Break,2024-04-22,21,2,3,2-3,2.3,15,9,113,72,nw
Cardiff Reef,Reef Break,2024-04-23,0,2,3,2-3,2.7,15,9,177,56,nw
Cardiff Reef,Reef Break,2024-04-23,3,2,3,2-3,2.7,15,7,163,38,nw
Cardiff Reef,Reef Break,2024-04-23,6,2,3,2-3,2.4,15,5,111,29,w
Cardiff Reef,Reef Break,2024-04-23,9,2,3,2-3,2.3,15,3,97,27,w
Cardiff Reef,Reef Break,2024-04-23,12,2,3,2-3,1.9,15,8,68,32,nw
Cardiff Reef,Reef Break,2024-04-23,15,2,3,2-3,1.9,16,9,75,45,nw
Cardiff Reef,Reef Break,2024-04-23,18,2,3,2-3,2.2,15,7,86,55,nw
Cardiff Reef,Reef Break,2024-04-23,21,2,3,2-3,2.3,15,5,104,47,nw
Cardiff Reef,Reef Break,2024-04-24,0,2,3,2-3,2.4,15,3,118,25,w
Cardiff Reef,Reef Break,2024-04-24,3,2,3,2-3,2.4,15,4,138,9,w
Cardiff Reef,Reef Break,2024-04-24,6,2,3,2-3,2.4,15,1,137,6,w
Cardiff Reef,Reef Break,2024-04-24,9,2,3,2-3,2.4,16,5,173,2,w
Cardiff Reef,Reef Break,2024-04-24,12,2,3,2-3,2.3,16,9,138,1,nw
Cardiff Reef,Reef Break,2024-04-24,15,2,3,2-3,2.3,16,10,129,1,nw
Cardiff Reef,Reef Break,2024-04-24,18,2,3,2-3,2.2,16,11,109,1,nw
Cardiff Reef,Reef Break,2024-04-24,21,3,4,3-4,2.2,15,10,96,1,nw
Cardiff Reef,Reef Break,2024-04-25,0,3,4,3-4,2.1,15,8,87,1,nw
Cardiff Reef,Reef Break,2024-04-25,3,2,3+,2-3+,2.1,15,8,85,0,nw
Cardiff Reef,Reef Break,2024-04-25,6,2,3+,2-3+,2.2,15,6,87,0,nw
Cardiff Reef,Reef Break,2024-04-25,9,2,3+,2-3+,2.2,15,5,99,0,nw
Cardiff Reef,Reef Break,2024-04-25,12,2,3,2-3,2.2,14,9,87,0,nw
Cardiff Reef,Reef Break,2024-04-25,15,2,3,2-3,2.2,14,10,98,0,nw
