Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Surf (ft),Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-21,0,1,2,1-2,45293,3,POOR TO FAIR,1.5,18,1.8,13,0.5,11,0,0kts,97.0,38,57,1017,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-21,3,1,2,1-2,45293,3,POOR TO FAIR,1.6,18,1.7,13,0.5,11,0,0kts,98.0,37,57,1015,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-21,6,1,2,1-2,45293,3,POOR TO FAIR,1.5,18,1.7,13,0.5,11,0,0kts,90.0,38,58,1015,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-21,9,1,2,1-2,45293,3,POOR TO FAIR,1.5,18,1.6,13,0.5,10,0,0kts,88.0,38,57,1016,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-21,12,1,2,1-2,45293,3,POOR TO FAIR,1.7,17,1.5,13,0.5,11,8,8kts,94.0,38,57,1015,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-21,15,1,2,1-2,45293,3,POOR TO FAIR,1.8,17,1.4,12,0.5,10,8,8kts,97.0,39,56,1014,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-21,18,1,2,1-2,45293,3,POOR TO FAIR,1.9,16,1.4,12,0.5,10,6,6kts,99.0,39,55,1013,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-21,21,1,2,1-2,45293,3,POOR TO FAIR,1.9,16,1.4,12,0.5,10,3,3kts,104.0,40,55,1014,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-22,0,1,2,1-2,45293,3,POOR TO FAIR,2.0,16,1.4,12,0.5,10,2,2kts,110.0,40,55,1013,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-22,3,1,2,1-2,45293,3,POOR TO FAIR,2.0,16,1.4,12,0.5,10,3,3kts,109.0,39,55,1012,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-22,6,1,2,1-2,45293,3,POOR TO FAIR,2.1,16,1.2,12,0.5,10,3,3kts,114.0,39,55,1012,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-22,9,1,2,1-2,45293,3,POOR TO FAIR,2.0,16,1.2,12,0.5,10,5,5kts,106.0,39,55,1013,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-22,12,1,2,1-2,45293,3,POOR TO FAIR,2.0,16,1.2,12,0.5,10,5,5kts,101.0,40,55,1013,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-22,15,1,2,1-2,45293,2,POOR,2.0,15,1.2,12,0.5,10,8,8kts,94.0,41,57,1012,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-22,18,1,2,1-2,45293,3,POOR TO FAIR,2.1,15,1.2,12,0.5,10,8,8kts,94.0,43,57,1012,95
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-22,21,1,2,1-2,45293,3,POOR TO FAIR,2.1,15,1.1,12,0.5,10,8,8kts,98.0,43,57,1013,75
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-23,0,1,2,1-2,45293,3,POOR TO FAIR,2.2,15,1.1,12,0.5,10,9,9kts,109.0,41,56,1014,60
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-23,3,1,2,1-2,45293,3,POOR TO FAIR,2.5,15,0.5,10,0.3,15,11,11kts,169.0,38,55,1014,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-23,6,1,2,1-2,45293,3,POOR TO FAIR,2.2,15,1.0,18,0.5,10,10,10kts,118.0,38,55,1015,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-23,9,1,2,1-2,45293,3,POOR TO FAIR,2.1,15,1.0,11,0.5,10,8,8kts,103.0,40,55,1016,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-23,12,1,2,1-2,45293,3,POOR TO FAIR,2.1,17,1.0,11,0.5,10,6,6kts,147.0,37,59,1017,100
Corona del Mar,North Orange County,Beach Break,33.61,-117.883333,33.610000° N,-117.883333° W,2024-04-23,15,1,2,1-2,45293,2,POOR,2.1,17,0.9,11,0.5,10,9,9kts,146.0,33,59,1016,100
