Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
Crystal Cove,North Orange County,Reef Break,33.798056,-117.861944,33.798056° N,-117.861944° W,2024-04-21,0,3,4,3-4,4,FAIR,1.9,13,1.5,18,0.4,17,2,2kts,87.0,29,57,1017,100
Crystal Cove,North Orange County,Reef Break,33.798056,-117.861944,33.798056° N,-117.861944° W,2024-04-21,3,3,4,3-4,4,FAIR,1.6,18,1.8,13,0.3,17,1,1kts,87.0,29,58,1014,100
Crystal Cove,North Orange County,Reef Break,33.798056,-117.861944,33.798056° N,-117.861944° W,2024-04-21,6,3,4,3-4,4,FAIR,1.5,18,1.7,13,0.4,16,2,2kts,77.0,29,56,1014,100
Crystal Cove,North Orange County,Reef Break,33.798056,-117.861944,33.798056° N,-117.861944° W,2024-04-21,9,3,4,3-4,4,FAIR,1.7,18,1.6,13,0.8,6,4,4kts,83.0,29,57,1015,100
Crystal Cove,North Orange County,Reef Break,33.798056,-117.861944,33.798056° N,-117.861944° W,2024-04-21,12,3,4,3-4,4,FAIR,1.7,17,1.6,13,1.0,6,6,6kts,87.0,29,56,1015,100
Crystal Cove,North Orange County,Reef Break,33.798056,-117.861944,33.798056° N,-117.861944° W,2024-04-21,15,3,4,3-4,4,FAIR,1.8,17,1.5,13,0.3,16,8,8kts,81.0,31,57,1013,100
Crystal Cove,North Orange County,Reef Break,33.798056,-117.861944,33.798056° N,-117.861944° W,2024-04-21,18,3,4,3-4,4,FAIR,1.9,16,1.5,12,0.3,16,6,6kts,85.0,32,57,1013,100
Crystal Cove,North Orange County,Reef Break,33.798056,-117.861944,33.798056° N,-117.861944° W,2024-04-21,21,3,4,3-4,4,FAIR,2.0,16,1.4,12,0.3,16,3,3kts,93.0,32,56,1013,100
Crystal Cove,North Orange County,Reef Break,33.798056,-117.861944,33.798056° N,-117.861944° W,2024-04-22,0,3,4,3-4,4,FAIR,2.0,16,1.4,12,0.3,16,1,1kts,96.0,33,56,1013,100
Crystal Cove,North Orange County,Reef Break,33.798056,-117.861944,33.798056° N,-117.861944° W,2024-04-22,3,3,4,3-4,4,FAIR,2.0,16,1.4,12,0.3,16,2,2kts,95.0,33,56,1012,100
