Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Surf (ft),Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-21,0,3,4,3-4,45355,4,FAIR,1.1,18,1.2,13,0.6,11,5,5kts,41.0,38,58,1017,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-21,3,3,4+,3-4+,3-4+,4,FAIR,1.1,18,1.2,13,0.7,5,4,4kts,39.0,39,58,1015,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-21,6,3,4,3-4,45355,4,FAIR,1.0,18,1.2,13,0.8,5,1,1kts,35.0,41,58,1015,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-21,9,3,4,3-4,45355,4,FAIR,1.2,18,1.0,13,1.2,6,7,7kts,42.0,41,59,1016,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-21,12,3,4,3-4,45355,3,POOR TO FAIR,1.2,18,1.0,12,1.1,6,7,7kts,38.0,42,63,1015,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-21,15,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.2,17,1.0,12,1.0,6,9,9kts,37.0,43,62,1014,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-21,18,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.2,17,1.0,12,0.7,8,9,9kts,35.0,44,59,1013,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-21,21,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.3,16,1.0,12,0.8,8,5,5kts,35.0,47,56,1014,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-22,0,3,4,3-4,45355,4,FAIR,1.3,16,1.0,12,1.1,8,4,4kts,42.0,48,56,1013,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-22,3,2,3+,2-3+,2-3+,4,FAIR,1.4,16,0.9,12,0.8,8,2,2kts,39.0,48,55,1012,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-22,6,3,4,3-4,45355,4,FAIR,1.4,16,1.3,8,0.8,12,3,3kts,45.0,48,54,1012,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-22,9,2,3+,2-3+,2-3+,4,FAIR,1.3,16,0.9,12,1.2,6,4,4kts,33.0,48,56,1013,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-22,12,2,3+,2-3+,2-3+,4,FAIR,1.3,16,0.9,12,1.2,6,6,6kts,36.0,48,59,1013,100
HB Pier Northside,North Orange County,Beach Break,33.618333,-118.0,33.618333° N,-118.000000° W,2024-04-22,15,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.4,16,0.8,12,1.1,6,8,8kts,35.0,47,62,1012,100
