Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Surf (ft),Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-21,0,4,5,4-5,45387,5,FAIR TO GOOD,1.9,18,1.9,13,0.3,17,1,1kts,123.0,30,57,1017,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-21,3,3,5,3-5,45356,5,FAIR TO GOOD,1.9,18,1.8,13,0.3,16,3,3kts,121.0,30,58,1015,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-21,6,3,5,3-5,45356,5,FAIR TO GOOD,1.8,18,1.8,13,0.6,16,0,0kts,100.0,30,58,1015,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-21,9,3,5,3-5,45356,4,FAIR,2.0,17,1.7,13,0.3,16,2,2kts,120.0,31,62,1015,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-21,12,3,5,3-5,45356,3,POOR TO FAIR,2.0,17,1.6,13,1.0,6,9,9kts,110.0,32,64,1014,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-21,15,3,5,3-5,45356,3,POOR TO FAIR,2.1,16,1.6,13,0.9,6,8,8kts,111.0,33,64,1014,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-21,18,3,5,3-5,45356,4,FAIR,2.2,16,1.6,12,0.7,6,6,6kts,125.0,34,60,1013,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-21,21,4,5,4-5,45387,4,FAIR,2.3,16,1.5,12,0.8,8,3,3kts,128.0,35,57,1014,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-22,0,4,5,4-5,45387,5,FAIR TO GOOD,2.4,16,1.5,12,0.8,8,3,3kts,135.0,35,56,1013,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-22,3,4,5,4-5,45387,5,FAIR TO GOOD,2.4,16,1.5,12,0.8,8,1,1kts,138.0,34,55,1012,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-22,6,4,5,4-5,45387,5,FAIR TO GOOD,2.4,16,1.3,12,0.6,8,3,3kts,142.0,35,54,1012,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-22,9,3,4+,3-4+,3-4+,5,FAIR TO GOOD,2.3,16,1.3,12,1.0,8,1,1kts,124.0,36,55,1013,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-22,12,3,4+,3-4+,3-4+,4,FAIR,2.2,16,1.4,12,0.8,7,5,5kts,114.0,37,57,1013,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-22,15,3,4+,3-4+,3-4+,4,FAIR,2.3,15,1.3,12,0.7,6,7,7kts,118.0,38,58,1012,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-22,18,3,4+,3-4+,3-4+,4,FAIR,2.4,15,1.3,12,0.8,7,5,5kts,117.0,38,58,1012,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-22,21,4,5,4-5,45387,4,FAIR,2.5,15,1.3,12,0.7,5,9,9kts,128.0,37,56,1013,80
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-23,0,4,5,4-5,45387,4,FAIR,2.9,15,0.8,5,0.3,16,10,10kts,204.0,35,56,1014,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-23,3,4,5,4-5,45387,4,FAIR,2.9,15,1.0,5,0.3,16,12,12kts,205.0,32,54,1014,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-23,6,4,5,4-5,45387,4,FAIR,2.8,15,1.2,5,0.2,15,9,9kts,191.0,32,53,1015,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-23,9,4,5,4-5,45387,4,FAIR,2.6,15,1.0,11,1.0,5,8,8kts,141.0,34,55,1016,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-23,12,3,4+,3-4+,3-4+,4,FAIR,2.4,15,1.1,11,0.9,5,7,7kts,122.0,33,59,1017,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-23,15,4,5,4-5,45387,3,POOR TO FAIR,2.4,17,1.1,11,1.1,5,8,8kts,156.0,29,60,1016,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-23,18,4,5,4-5,45387,3,POOR TO FAIR,2.5,17,0.9,11,0.9,11,8,8kts,165.0,26,58,1016,100
Lower Trestles,South Orange County,Point Break,33.190278,-117.607222,33.190278° N,-117.607222° W,2024-04-23,21,3,4+,3-4+,3-4+,4,FAIR,2.6,17,0.9,5,0.8,7,5,5kts,220.0,25,57,1017,100
