Surf Break,County,Surf Break Type,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Primary Swell (ft),Primary Swell (seconds),Wind (kts),Wave Energy,Consistency,w/nw
Malibu,North Los Angeles County,Point Break,2024-04-21,0,2,3+,2-3+,1.9,13,2,95,25,w 
Malibu,North Los Angeles County,Point Break,2024-04-21,3,2,3+,2-3+,1.8,13,2,93,24,w
Malibu,North Los Angeles County,Point Break,2024-04-21,6,2,3+,2-3+,1.6,17,2,92,23,w
Malibu,North Los Angeles County,Point Break,2024-04-21,9,3,4,3-4,1.6,17,5,97,23,w
Malibu,North Los Angeles County,Point Break,2024-04-21,12,2,3+,2-3+,1.6,17,5,91,24,w
Malibu,North Los Angeles County,Point Break,2024-04-21,15,2,3+,2-3+,1.7,17,10,93,25,nw
Malibu,North Los Angeles County,Point Break,2024-04-21,18,2,3,2-3,1.8,16,6,96,25,nw
Malibu,North Los Angeles County,Point Break,2024-04-21,21,2,3+,2-3+,1.8,16,2,95,26,w
Malibu,North Los Angeles County,Point Break,2024-04-22,0,2,3+,2-3+,2,16,2,104,26,w
Malibu,North Los Angeles County,Point Break,2024-04-22,3,2,3+,2-3+,2,16,2,108,25,w
Malibu,North Los Angeles County,Point Break,2024-04-22,6,2,3+,2-3+,2,16,1,108,25,w
Malibu,North Los Angeles County,Point Break,2024-04-22,9,2,3,2-3,1.9,16,2,101,25,w
Malibu,North Los Angeles County,Point Break,2024-04-22,12,2,3,2-3,1.9,16,4,97,26,w
Malibu,North Los Angeles County,Point Break,2024-04-22,15,2,3,2-3,1.9,16,4,98,27,w
Malibu,North Los Angeles County,Point Break,2024-04-22,18,2,3,2-3,2,15,3,97,28,w
Malibu,North Los Angeles County,Point Break,2024-04-22,21,2,3+,2-3+,2.1,15,3,100,28,w
Malibu,North Los Angeles County,Point Break,2024-04-23,0,2,3+,2-3+,2.1,15,3,99,28,w
Malibu,North Los Angeles County,Point Break,2024-04-23,3,2,3+,2-3+,2.4,15,7,150,27,nw
Malibu,North Los Angeles County,Point Break,2024-04-23,6,2,3+,2-3+,2.3,15,4,124,26,w
