Surf Break,Surf Break Type,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Primary Swell (ft),Primary Swell (seconds),Wind (kts),Wave Energy,Consistency,W/nw
Oceanside Harbor,Beach Break,2024-04-21,0,3,4+,3-4+,2,18,1,146,38,w 
Oceanside Harbor,Beach Break,2024-04-21,3,3,4+,3-4+,2,17,3,145,38,w
Oceanside Harbor,Beach Break,2024-04-21,6,3,4+,3-4+,1.8,13,5,90,39,w
Oceanside Harbor,Beach Break,2024-04-21,9,3,4+,3-4+,1.6,17,5,89,40,w
Oceanside Harbor,Beach Break,2024-04-21,12,3,4,3-4,2.2,16,8,135,41,nw
Oceanside Harbor,Beach Break,2024-04-21,15,3,4,3-4,2.2,16,9,135,43,nw
Oceanside Harbor,Beach Break,2024-04-21,18,2,3+,2-3+,2.3,16,6,146,43,w
Oceanside Harbor,Beach Break,2024-04-21,21,2,3+,2-3+,2.4,16,3,153,44,w
Oceanside Harbor,Beach Break,2024-04-22,0,2,3+,2-3+,2.4,16,2,164,45,w
Oceanside Harbor,Beach Break,2024-04-22,3,2,3+,2-3+,2.5,16,2,170,46,w
Oceanside Harbor,Beach Break,2024-04-22,6,2,3+,2-3+,2.4,16,3,159,46,w
Oceanside Harbor,Beach Break,2024-04-22,9,2,3+,2-3+,2.4,16,1,151,47,w
Oceanside Harbor,Beach Break,2024-04-22,12,2,3+,2-3+,2.3,16,3,137,49,w
Oceanside Harbor,Beach Break,2024-04-22,15,2,3+,2-3+,2.4,15,7,132,50,nw
Oceanside Harbor,Beach Break,2024-04-22,18,2,3+,2-3+,2.5,15,7,139,50,nw
Oceanside Harbor,Beach Break,2024-04-22,21,2,3+,2-3+,2.6,15,9,152,48,nw
Oceanside Harbor,Beach Break,2024-04-23,0,2,3+,2-3+,2.9,15,10,247,45,nw
Oceanside Harbor,Beach Break,2024-04-23,3,2,3+,2-3+,2.9,15,8,248,42,nw
Oceanside Harbor,Beach Break,2024-04-23,6,2,3+,2-3+,2.9,15,8,234,43,nw
Oceanside Harbor,Beach Break,2024-04-23,9,2,3+,2-3+,2.6,15,4,158,45,w
Oceanside Harbor,Beach Break,2024-04-23,12,2,3+,2-3+,2.5,15,6,136,45,nw
Oceanside Harbor,Beach Break,2024-04-23,15,2,3+,2-3+,2.5,15,9,144,45,nw
Oceanside Harbor,Beach Break,2024-04-23,18,2,3+,2-3+,2.6,15,8,189,44,nw
Oceanside Harbor,Beach Break,2024-04-23,21,2,3+,2-3+,2.6,15,5,186,44,nw
Oceanside Harbor,Beach Break,2024-04-24,0,2,3,2-3,2.6,15,5,191,43,w
Oceanside Harbor,Beach Break,2024-04-24,3,2,3+,2-3+,2.6,15,4,212,41,w
