Surf Break,Surf Break Type,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Primary Swell (ft),Primary Swell (seconds),Wind (kts),Wave Energy,Consistency,w/nw
Oceanside Pier,Beach Break,2024-04-21,0,2,3+,2-3+,2,18,1,146,42,w 
Oceanside Pier,Beach Break,2024-04-21,3,3,4,3-4,2,17,3,146,42,w
Oceanside Pier,Beach Break,2024-04-21,6,3,4,3-4,1.8,13,4,87,42,w
Oceanside Pier,Beach Break,2024-04-21,9,3,4,3-4,1.6,17,3,86,43,w
Oceanside Pier,Beach Break,2024-04-21,12,2,3+,2-3+,2.2,16,7,135,44,nw
Oceanside Pier,Beach Break,2024-04-21,15,2,3+,2-3+,2.2,16,9,133,45,nw
Oceanside Pier,Beach Break,2024-04-21,18,2,3+,2-3+,2.3,16,6,143,46,nw
Oceanside Pier,Beach Break,2024-04-21,21,2,3+,2-3+,2.4,16,3,150,46,w
Oceanside Pier,Beach Break,2024-04-22,0,2,3+,2-3+,2.4,16,2,168,47,w
Oceanside Pier,Beach Break,2024-04-22,3,2,3+,2-3+,2.5,16,2,174,47,w
Oceanside Pier,Beach Break,2024-04-22,6,2,3+,2-3+,2.4,16,2,163,47,w
Oceanside Pier,Beach Break,2024-04-22,9,2,3,2-3,2.4,16,2,155,48,w
Oceanside Pier,Beach Break,2024-04-22,12,2,3,2-3,2.3,16,6,131,50,nw
Oceanside Pier,Beach Break,2024-04-22,15,2,3,2-3,2.4,15,7,127,51,nw
Oceanside Pier,Beach Break,2024-04-22,18,2,3,2-3,2.5,15,7,134,50,nw
Oceanside Pier,Beach Break,2024-04-22,21,2,3+,2-3+,2.6,15,9,142,49,nw
Oceanside Pier,Beach Break,2024-04-23,0,2,3+,2-3+,2.9,15,9,245,46,nnw
Oceanside Pier,Beach Break,2024-04-23,3,2,3+,2-3+,2.9,15,7,245,44,w
Oceanside Pier,Beach Break,2024-04-23,6,2,3+,2-3+,2.9,15,6,231,44,w
Oceanside Pier,Beach Break,2024-04-23,9,2,3+,2-3+,2.6,15,4,153,46,w
Oceanside Pier,Beach Break,2024-04-23,12,2,3+,2-3+,2.5,15,6,135,47,nw
Oceanside Pier,Beach Break,2024-04-23,15,2,3,2-3,2.5,15,9,142,47,nw
Oceanside Pier,Beach Break,2024-04-23,18,2,3,2-3,2.6,15,8,202,46,nw
Oceanside Pier,Beach Break,2024-04-23,21,2,3,2-3,2.6,15,5,201,45,w
Oceanside Pier,Beach Break,2024-04-24,0,2,3,2-3,2.6,15,5,204,45,w
Oceanside Pier,Beach Break,2024-04-24,3,2,3,2-3,2.6,15,4,227,43,w
Oceanside Pier,Beach Break,2024-04-24,6,2,3+,2-3+,2.7,16,1,208,41,w
Oceanside Pier,Beach Break,2024-04-24,9,2,3+,2-3+,2.7,16,4,252,39,w
Oceanside Pier,Beach Break,2024-04-24,12,2,3+,2-3+,2.6,16,7,218,38,nw
Oceanside Pier,Beach Break,2024-04-24,15,2,3+,2-3+,2.6,16,10,200,38,nw
Oceanside Pier,Beach Break,2024-04-24,18,2,3+,2-3+,2.5,16,13,182,39,nw
Oceanside Pier,Beach Break,2024-04-24,21,2,3+,2-3+,2.4,15,11,157,41,nw
Oceanside Pier,Beach Break,2024-04-25,0,2,3+,2-3+,2.4,15,10,142,43,nw
Oceanside Pier,Beach Break,2024-04-25,3,2,3+,2-3+,2.4,15,9,137,45,nw
Oceanside Pier,Beach Break,2024-04-25,6,2,3+,2-3+,2.2,15,6,89,46,nw
Oceanside Pier,Beach Break,2024-04-25,9,2,3+,2-3+,2.5,15,5,136,46,w
Oceanside Pier,Beach Break,2024-04-25,12,2,3,2-3,2.5,14,8,125,45,nw
Oceanside Pier,Beach Break,2024-04-25,15,2,3,2-3,2.4,14,10,127,45,nw
Oceanside Pier,Beach Break,2024-04-25,18,2,3,2-3,1.8,13,9,70,47,nw
Oceanside Pier,Beach Break,2024-04-25,21,2,3,2-3,1.8,13,5,67,48,w
Oceanside Pier,Beach Break,2024-04-26,0,2,3,2-3,1.8,13,4,58,49,w
Oceanside Pier,Beach Break,2024-04-26,3,2,3,2-3,1.8,13,5,58,51,w
Oceanside Pier,Beach Break,2024-04-26,6,2,3+,2-3+,1.8,13,6,69,54,nw
Oceanside Pier,Beach Break,2024-04-26,9,2,3+,2-3+,1.8,13,7,76,56,nw
Oceanside Pier,Beach Break,2024-04-26,12,2,3+,2-3+,1.8,13,7,78,55,nw
Oceanside Pier,Beach Break,2024-04-26,15,2,3,2-3,1.4,18,7,64,54,nw
Oceanside Pier,Beach Break,2024-04-26,18,2,3,2-3,1.5,17,7,63,53,nw
Oceanside Pier,Beach Break,2024-04-26,21,2,3,2-3,1.4,17,10,52,54,nw
Oceanside Pier,Beach Break,2024-04-27,0,3,4,3-4,2.9,6,11,54,57,nw
Oceanside Pier,Beach Break,2024-04-27,3,2,3+,2-3+,4.5,6,19,121,63,nw
Oceanside Pier,Beach Break,2024-04-27,6,3,4,3-4,5.6,7,21,184,71,nw
Oceanside Pier,Beach Break,2024-04-27,9,3,4,3-4,5.8,7,16,229,77,nw
Oceanside Pier,Beach Break,2024-04-27,12,3,4,3-4,6.4,8,18,289,80,nw
Oceanside Pier,Beach Break,2024-04-27,15,3,4+,3-4+,6.8,8,18,337,82,nw
Oceanside Pier,Beach Break,2024-04-27,18,3,4,3-4,6.6,8,17,311,82,nw
Oceanside Pier,Beach Break,2024-04-27,21,2,3+,2-3+,6.5,8,17,296,82,nw
Oceanside Pier,Beach Break,2024-04-28,0,3,4,3-4,6.6,8,15,328,82,nw
Oceanside Pier,Beach Break,2024-04-28,3,3,4+,3-4+,6.8,8,12,356,82,nw
Oceanside Pier,Beach Break,2024-04-28,6,3,4,3-4,6.3,8,6,310,81,w
Oceanside Pier,Beach Break,2024-04-28,9,3,4,3-4,5.2,8,4,194,78,w
Oceanside Pier,Beach Break,2024-04-28,12,2,3+,2-3+,4.1,9,5,114,75,w
Oceanside Pier,Beach Break,2024-04-28,15,2,3+,2-3+,3.3,8,7,85,72,nw
Oceanside Pier,Beach Break,2024-04-28,18,2,3+,2-3+,2.8,8,8,76,69,nw
Oceanside Pier,Beach Break,2024-04-28,21,2,3+,2-3+,1.7,15,4,67,67,w
Oceanside Pier,Beach Break,2024-04-29,0,2,3+,2-3+,1.7,15,1,64,66,w`
Oceanside Pier,Beach Break,2024-04-29,3,2,3,2-3,1.7,15,3,55,65,w
Oceanside Pier,Beach Break,2024-04-29,6,2,3,2-3,1.6,14,3,52,65,w
Oceanside Pier,Beach Break,2024-04-29,9,2,3,2-3,1.6,14,2,54,66,w
Oceanside Pier,Beach Break,2024-04-29,12,2,3,2-3,1.5,14,3,50,66,w
Oceanside Pier,Beach Break,2024-04-29,15,2,3,2-3,1.5,14,9,47,64,nw
Oceanside Pier,Beach Break,2024-04-29,18,2,3,2-3,1.5,14,10,45,62,nw
Oceanside Pier,Beach Break,2024-04-29,21,2,3,2-3,1.5,14,9,39,61,nw
Oceanside Pier,Beach Break,2024-04-30,0,2,3,2-3,1.4,14,2,28,58,w
Oceanside Pier,Beach Break,2024-04-30,3,2,3,2-3,1.4,14,2,33,56,w
Oceanside Pier,Beach Break,2024-04-30,6,2,3,2-3,1.4,14,4,28,54,w
Oceanside Pier,Beach Break,2024-04-30,9,2,3,2-3,1.3,14,4,27,55,w
Oceanside Pier,Beach Break,2024-04-30,12,2,3,2-3,1.3,14,7,25,56,nw
Oceanside Pier,Beach Break,2024-04-30,15,2,3,2-3,1.3,13,9,22,57,nw
Oceanside Pier,Beach Break,2024-04-30,18,2,3,2-3,1.3,13,11,23,59,nw
Oceanside Pier,Beach Break,2024-04-30,21,2,3,2-3,1.3,13,7,23,59,nw
