Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Surf (ft),Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-21,0,2,3+,2-3+,2-3+,4,FAIR,2.0,18,2.0,13,0.7,5,1,1kts,146.0,42,58,1017,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-21,3,3,4,3-4,45355,4,FAIR,2.0,17,1.9,13,0.7,5,3,3kts,146.0,42,58,1015,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-21,6,3,4,3-4,45355,4,FAIR,1.8,13,1.5,18,1.2,16,4,4kts,87.0,42,58,1015,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-21,9,3,4,3-4,45355,4,FAIR,1.6,17,1.7,13,1.2,16,3,3kts,86.0,43,61,1015,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-21,12,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.2,16,1.6,13,0.9,5,7,7kts,135.0,44,63,1014,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-21,15,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.2,16,1.6,13,1.0,6,9,9kts,133.0,45,63,1014,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-21,18,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.3,16,1.6,12,0.9,6,6,6kts,143.0,46,61,1013,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-21,21,2,3+,2-3+,2-3+,4,FAIR,2.4,16,1.6,12,0.8,6,3,3kts,150.0,46,59,1014,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-22,0,2,3+,2-3+,2-3+,4,FAIR,2.4,16,1.6,12,1.0,8,2,2kts,168.0,47,57,1013,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-22,3,2,3+,2-3+,2-3+,4,FAIR,2.5,16,1.4,12,1.0,8,2,2kts,174.0,47,56,1012,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-22,6,2,3+,2-3+,2-3+,4,FAIR,2.4,16,1.4,12,1.0,8,2,2kts,163.0,47,57,1012,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-22,9,2,3,2-3,45325,4,FAIR,2.4,16,1.3,12,1.0,8,2,2kts,155.0,48,56,1013,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-22,12,2,3,2-3,45325,4,FAIR,2.3,16,1.4,12,1.2,8,6,6kts,131.0,50,60,1013,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-22,15,2,3,2-3,45325,3,POOR TO FAIR,2.4,15,1.4,12,1.2,8,7,7kts,127.0,51,62,1012,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-22,18,2,3,2-3,45325,3,POOR TO FAIR,2.5,15,1.4,12,1.1,7,7,7kts,134.0,50,59,1012,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-22,21,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.6,15,1.2,12,1.0,6,9,9kts,142.0,49,57,1013,80
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-23,0,2,3+,2-3+,2-3+,4,FAIR,2.9,15,1.1,6,0.3,11,9,9kts,245.0,46,55,1014,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-23,3,2,3+,2-3+,2-3+,4,FAIR,2.9,15,1.2,5,0.3,11,7,7kts,245.0,44,55,1014,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-23,6,2,3+,2-3+,2-3+,4,FAIR,2.9,15,1.3,5,0.3,11,6,6kts,231.0,44,55,1015,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-23,9,2,3+,2-3+,2-3+,4,FAIR,2.6,15,0.9,11,1.3,5,4,4kts,153.0,46,55,1016,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-23,12,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.5,15,1.1,11,1.2,5,6,6kts,135.0,47,59,1017,100
Oceanside Pier,North San Diego County,Beach Break,33.196111,-117.385278,33.196111° N,-117.385278° W,2024-04-23,15,2,3,2-3,45325,3,POOR TO FAIR,2.5,15,0.8,11,1.2,5,9,9kts,142.0,47,59,1016,100
