Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-21,0,3,4,3-4,4,FAIR,1.8,18,1.9,13,0.4,17,2,2kts,110.0,39,58,1017,100
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-21,3,3,4+,3-4+,4,FAIR,1.8,18,1.8,13,0.4,16,1,1kts,106.0,39,58,1015,100
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-21,6,3,4,3-4,4,FAIR,1.7,18,1.8,13,0.4,16,4,4kts,97.0,40,58,1015,100
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-21,9,3,4,3-4,4,FAIR,1.9,17,1.6,13,0.4,16,5,5kts,106.0,40,58,1015,100
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-21,12,3,4,3-4,4,FAIR,1.9,17,1.6,13,0.4,16,9,9kts,98.0,41,56,1015,100
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-21,15,3,4,3-4,4,FAIR,2.0,17,1.5,13,0.4,16,9,9kts,106.0,43,57,1014,100
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-21,18,2,3+,2-3+,4,FAIR,2.1,16,1.5,12,0.4,16,6,6kts,104.0,45,56,1013,100
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-21,21,2,3+,2-3+,4,FAIR,2.2,16,1.5,12,1.0,8,3,3kts,118.0,47,56,1014,100
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-22,0,2,3+,2-3+,4,FAIR,2.3,16,1.5,12,0.4,16,2,2kts,125.0,47,56,1013,100
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-22,3,2,3+,2-3+,4,FAIR,2.2,16,1.5,12,0.4,16,1,1kts,118.0,47,56,1012,100
Salt Creek,South Orange County,Reef Break,33.183333,-117.590278,33.183333° N,-117.590278° W,2024-04-22,6,2,3+,2-3+,4,FAIR,2.2,16,1.5,12,0.4,16,2,2kts,114.0,47,55,1012,100
