Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Surf (ft),Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
San Clemente State Beach,South Orange County,Beach Break,33.104167,-117.600556,33.104167° N,-117.600556° W,2024-04-21,0,2,3+,2-3+,2-3+,4,FAIR,1.9,18,1.9,13,0.3,17,1,1kts,122.0,38,56,1017,100
San Clemente State Beach,South Orange County,Beach Break,33.104167,-117.600556,33.104167° N,-117.600556° W,2024-04-21,3,2,3+,2-3+,2-3+,4,FAIR,1.9,18,1.8,13,0.3,16,2,2kts,120.0,38,58,1015,100
San Clemente State Beach,South Orange County,Beach Break,33.104167,-117.600556,33.104167° N,-117.600556° W,2024-04-21,6,2,3+,2-3+,2-3+,4,FAIR,1.8,18,1.8,13,0.6,16,4,4kts,99.0,38,58,1015,100
San Clemente State Beach,South Orange County,Beach Break,33.104167,-117.600556,33.104167° N,-117.600556° W,2024-04-21,9,2,3,2-3,45325,4,FAIR,2.0,17,1.7,13,0.3,16,4,4kts,120.0,39,61,1015,100
San Clemente State Beach,South Orange County,Beach Break,33.104167,-117.600556,33.104167° N,-117.600556° W,2024-04-21,12,2,3,2-3,45325,3,POOR TO FAIR,2.0,17,1.6,13,1.0,6,8,8kts,111.0,40,64,1014,100
San Clemente State Beach,South Orange County,Beach Break,33.104167,-117.600556,33.104167° N,-117.600556° W,2024-04-21,15,2,3,2-3,45325,3,POOR TO FAIR,2.1,16,1.6,13,0.9,6,7,7kts,111.0,41,64,1014,100
San Clemente State Beach,South Orange County,Beach Break,33.104167,-117.600556,33.104167° N,-117.600556° W,2024-04-21,18,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.2,16,1.6,12,0.7,6,5,5kts,126.0,42,59,1013,100
San Clemente State Beach,South Orange County,Beach Break,33.104167,-117.600556,33.104167° N,-117.600556° W,2024-04-21,21,2,3+,2-3+,2-3+,4,FAIR,2.3,16,1.5,12,0.8,8,3,3kts,129.0,42,57,1014,100
San Clemente State Beach,South Orange County,Beach Break,33.104167,-117.600556,33.104167° N,-117.600556° W,2024-04-22,0,2,3+,2-3+,2-3+,4,FAIR,2.4,16,1.5,12,0.8,8,2,2kts,135.0,42,56,1013,100
San Clemente State Beach,South Orange County,Beach Break,33.104167,-117.600556,33.104167° N,-117.600556° W,2024-04-22,3,2,3+,2-3+,2-3+,4,FAIR,2.4,16,1.5,12,0.8,8,1,1kts,138.0,42,55,1012,100
