Surf Break,Surf Break Type,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Primary Swell (ft),Primary Swell (seconds),Wind (kts),Wave Energy,Consistency,W/NW
San Onofre,Beach Break,2024-04-21,0,2,3+,2-3+,1.9,18,2,127,34,w 
San Onofre,Beach Break,2024-04-21,3,3,4,3-4,1.9,17,4,116,34,w
San Onofre,Beach Break,2024-04-21,6,3,4,3-4,1.6,18,4,83,35,w
San Onofre,Beach Break,2024-04-21,9,3,4,3-4,2,17,7,110,35,nw
San Onofre,Beach Break,2024-04-21,12,3,4,3-4,2.1,17,9,114,36,nw
San Onofre,Beach Break,2024-04-21,15,3,4,3-4,2.1,16,8,118,38,nw
San Onofre,Beach Break,2024-04-21,18,2,3+,2-3+,2.2,16,6,121,39,w
San Onofre,Beach Break,2024-04-21,21,2,3,2-3,2.3,16,2,131,40,w
San Onofre,Beach Break,2024-04-22,0,2,3,2-3,2.4,16,2,136,40,w
San Onofre,Beach Break,2024-04-22,3,2,3,2-3,2.3,16,1,124,40,w
San Onofre,Beach Break,2024-04-22,6,2,3,2-3,2.4,16,3,134,40,w
San Onofre,Beach Break,2024-04-22,9,2,3,2-3,2.3,16,3,121,41,w
San Onofre,Beach Break,2024-04-22,12,2,3,2-3,2.3,16,5,105,42,w
San Onofre,Beach Break,2024-04-22,15,2,3,2-3,2.3,15,7,104,42,nw
San Onofre,Beach Break,2024-04-22,18,2,3,2-3,2.4,15,5,115,42,w
San Onofre,Beach Break,2024-04-22,21,2,3+,2-3+,2.5,15,9,119,40,nw
San Onofre,Beach Break,2024-04-23,0,2,3+,2-3+,2.9,15,10,203,37,nw
San Onofre,Beach Break,2024-04-23,3,2,3+,2-3+,2.9,15,11,200,35,nw
San Onofre,Beach Break,2024-04-23,6,2,3+,2-3+,2.9,15,9,195,36,nw
San Onofre,Beach Break,2024-04-23,9,2,3,2-3,2.6,15,8,127,38,nw
San Onofre,Beach Break,2024-04-23,12,2,3,2-3,2.5,15,6,129,38,w
San Onofre,Beach Break,2024-04-23,15,2,3,2-3,2.5,17,9,163,34,nw
San Onofre,Beach Break,2024-04-23,18,2,3,2-3,2.5,17,8,170,29,nw
San Onofre,Beach Break,2024-04-23,21,2,3,2-3,2.6,17,5,221,25,w
San Onofre,Beach Break,2024-04-24,0,2,3,2-3,2.7,16,5,223,27,w
San Onofre,Beach Break,2024-04-24,3,2,3,2-3,2.7,16,4,201,31,w
San Onofre,Beach Break,2024-04-24,6,2,3,2-3,2.7,16,1,254,31,w
San Onofre,Beach Break,2024-04-24,9,2,3,2-3,2.7,16,4,216,31,w
San Onofre,Beach Break,2024-04-24,12,2,3,2-3,2.7,16,7,191,31,nw
San Onofre,Beach Break,2024-04-24,15,2,3,2-3,2.7,16,10,199,31,nw
San Onofre,Beach Break,2024-04-24,18,2,3,2-3,2.6,16,13,181,32,nw
