Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Surf (ft),Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-21,0,2,3+,2-3+,2-3+,4,FAIR,1.9,18,2.0,13,0.3,17,2,2kts,127.0,34,56,1017,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-21,3,3,4,3-4,45355,4,FAIR,1.9,17,1.8,13,0.3,16,4,4kts,116.0,34,57,1015,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-21,6,3,4,3-4,45355,4,FAIR,1.6,18,1.8,13,1.0,16,4,4kts,83.0,35,56,1015,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-21,9,3,4,3-4,45355,4,FAIR,2.0,17,1.7,13,0.7,5,7,7kts,110.0,35,62,1015,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-21,12,3,4,3-4,45355,4,FAIR,2.1,17,1.6,13,0.9,6,9,9kts,114.0,36,65,1014,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-21,15,3,4,3-4,45355,4,FAIR,2.1,16,1.6,13,1.0,6,8,8kts,118.0,38,64,1014,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-21,18,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.2,16,1.6,12,0.9,8,6,6kts,121.0,39,59,1013,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-21,21,2,3,2-3,45325,4,FAIR,2.3,16,1.5,12,0.9,8,2,2kts,131.0,40,57,1014,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-22,0,2,3,2-3,45325,4,FAIR,2.4,16,1.5,12,0.9,8,2,2kts,136.0,40,56,1013,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-22,3,2,3,2-3,45325,4,FAIR,2.3,16,1.5,12,0.8,8,1,1kts,124.0,40,55,1012,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-22,6,2,3,2-3,45325,4,FAIR,2.4,16,1.3,12,0.9,8,3,3kts,134.0,40,54,1012,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-22,9,2,3,2-3,45325,4,FAIR,2.3,16,1.3,12,1.0,8,3,3kts,121.0,41,56,1013,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-22,12,2,3,2-3,45325,4,FAIR,2.3,16,1.4,12,0.9,6,5,5kts,105.0,42,62,1013,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-22,15,2,3,2-3,45325,3,POOR TO FAIR,2.3,15,1.4,12,0.9,6,7,7kts,104.0,42,62,1012,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-22,18,2,3,2-3,45325,3,POOR TO FAIR,2.4,15,1.3,12,1.0,7,5,5kts,115.0,42,58,1012,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-22,21,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.5,15,1.3,12,0.9,5,9,9kts,119.0,40,56,1013,80
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-23,0,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.9,15,1.0,6,0.2,16,10,10kts,203.0,37,55,1014,95
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-23,3,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.9,15,1.2,5,0.4,11,11,11kts,200.0,35,53,1014,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-23,6,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.9,15,1.3,5,0.4,11,9,9kts,195.0,36,53,1015,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-23,9,2,3,2-3,45325,3,POOR TO FAIR,2.6,15,1.0,11,1.2,5,8,8kts,127.0,38,56,1016,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-23,12,2,3,2-3,45325,3,POOR TO FAIR,2.5,15,1.1,11,1.1,5,6,6kts,129.0,38,59,1017,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-23,15,2,3,2-3,45325,2,POOR,2.5,17,1.0,11,1.1,5,9,9kts,163.0,34,59,1016,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-23,18,2,3,2-3,45325,3,POOR TO FAIR,2.5,17,1.1,5,0.9,11,8,8kts,170.0,29,58,1016,100
San Onofre,South Orange County,Beach Break,33.338056,-117.521111,33.338056° N,-117.521111° W,2024-04-23,21,2,3,2-3,45325,3,POOR TO FAIR,2.6,17,1.1,5,0.4,11,5,5kts,221.0,25,58,1017,100
