Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-21,0,2,3+,2-3+,4,FAIR,1.8,18,1.8,13,0.8,5,2,2kts,107.0,39,58,1017,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-21,3,2,3+,2-3+,4,FAIR,1.2,16,1.4,17,1.7,13,2,2kts,71.0,40,58,1015,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-21,6,2,3+,2-3+,4,FAIR,1.2,16,1.6,13,1.3,17,4,4kts,67.0,41,59,1015,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-21,9,2,3+,2-3+,4,FAIR,1.2,16,1.4,17,1.6,13,4,4kts,60.0,42,59,1015,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-21,12,2,3+,2-3+,3,POOR TO FAIR,2.0,16,1.5,13,1.0,7,7,7kts,105.0,43,58,1014,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-21,15,2,3,2-3,3,POOR TO FAIR,2.1,16,1.4,12,1.2,6,8,8kts,105.0,44,58,1014,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-21,18,2,3,2-3,3,POOR TO FAIR,2.2,16,1.4,12,1.2,6,6,6kts,131.0,44,58,1013,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-21,21,2,3,2-3,4,FAIR,2.2,16,1.4,12,1.0,6,3,3kts,122.0,46,58,1014,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-22,0,2,3,2-3,4,FAIR,2.2,16,1.4,12,1.2,8,3,3kts,133.0,48,57,1013,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-22,3,2,3,2-3,4,FAIR,2.3,16,1.2,12,1.0,8,2,2kts,119.0,48,57,1012,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-22,6,2,3,2-3,4,FAIR,2.2,16,1.2,12,1.0,8,3,3kts,114.0,48,57,1012,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-22,9,2,3,2-3,4,FAIR,2.2,16,1.2,12,1.2,8,2,2kts,102.0,49,57,1013,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-22,12,2,3,2-3,4,FAIR,2.1,16,1.5,8,1.2,12,6,6kts,102.0,52,57,1013,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-22,15,2,3,2-3,3,POOR TO FAIR,2.1,15,1.5,8,1.3,12,7,7kts,96.0,53,57,1012,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-22,18,2,3,2-3,3,POOR TO FAIR,2.2,15,1.3,8,1.3,12,10,10kts,102.0,52,56,1012,95
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-22,21,2,3,2-3,3,POOR TO FAIR,2.3,15,1.2,12,1.3,7,8,8kts,111.0,50,56,1013,80
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-23,0,2,3,2-3,3,POOR TO FAIR,2.7,15,1.2,7,0.7,11,8,8kts,174.0,47,55,1014,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-23,3,2,3+,2-3+,3,POOR TO FAIR,2.7,15,1.1,7,0.7,11,8,8kts,159.0,45,55,1014,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-23,6,2,3,2-3,3,POOR TO FAIR,2.4,15,1.0,11,1.2,5,5,5kts,109.0,45,56,1015,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-23,9,2,3,2-3,4,FAIR,2.3,15,1.0,11,1.2,5,4,4kts,94.0,46,55,1016,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-23,12,2,3,2-3,3,POOR TO FAIR,1.9,15,1.2,15,1.1,5,8,8kts,67.0,45,62,1017,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-23,15,2,3,2-3,3,POOR TO FAIR,1.9,16,1.1,14,1.3,11,9,9kts,73.0,46,62,1016,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-23,18,2,3,2-3,3,POOR TO FAIR,2.2,15,1.3,11,0.9,11,7,7kts,86.0,47,60,1016,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-23,21,2,3,2-3,3,POOR TO FAIR,2.3,15,1.1,7,0.7,11,5,5kts,101.0,47,58,1017,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-24,0,2,3,2-3,3,POOR TO FAIR,2.4,15,1.1,7,0.7,5,3,3kts,116.0,47,57,1018,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-24,3,2,3,2-3,4,FAIR,2.4,15,1.2,7,0.7,5,4,4kts,136.0,46,56,1018,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-24,6,2,3,2-3,4,FAIR,2.4,15,1.1,7,0.7,5,1,1kts,134.0,44,55,1018,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-24,9,2,3,2-3,4,FAIR,2.4,16,1.4,7,0.0,0,5,5kts,173.0,41,59,1019,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-24,12,2,3,2-3,3,POOR TO FAIR,2.3,16,1.3,5,0.2,21,9,9kts,138.0,38,61,1018,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-24,15,2,3,2-3,2,POOR,2.3,16,1.4,5,0.2,21,10,10kts,126.0,38,61,1017,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-24,18,2,3,2-3,2,POOR,2.2,16,1.8,3,0.3,21,11,11kts,106.0,39,60,1018,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-24,21,2,3+,2-3+,2,POOR,2.2,15,2.1,4,0.3,21,10,10kts,93.0,41,58,1019,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-25,0,2,3+,2-3+,3,POOR TO FAIR,2.1,15,2.3,5,0.3,21,8,8kts,85.0,42,58,1019,100
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-25,3,2,3+,2-3+,3,POOR TO FAIR,2.1,15,2.2,5,1.0,5,8,8kts,84.0,43,57,1018,95
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-25,6,2,3+,2-3+,3,POOR TO FAIR,2.2,15,2.0,5,1.1,5,6,6kts,86.0,43,56,1019,90
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-25,9,2,3,2-3,3,POOR TO FAIR,2.2,15,2.1,5,0.5,19,5,5kts,98.0,43,58,1020,45
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-25,12,2,3,2-3,3,POOR TO FAIR,2.2,14,1.7,5,0.6,19,9,9kts,86.0,43,61,1020,65
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-25,15,2,3,2-3,2,POOR,2.2,14,1.7,5,0.6,19,10,10kts,97.0,44,61,1018,80
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-25,18,2,3,2-3,3,POOR TO FAIR,1.3,15,1.6,14,1.6,5,8,8kts,52.0,45,60,1017,55
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-25,21,2,3,2-3,3,POOR TO FAIR,1.3,14,1.6,13,0.6,19,5,5kts,44.0,46,58,1018,70
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-26,0,2,3,2-3,3,POOR TO FAIR,1.2,14,1.5,13,0.8,18,4,4kts,40.0,47,57,1018,80
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-26,3,2,3,2-3,3,POOR TO FAIR,1.2,14,1.0,18,1.5,13,4,4kts,41.0,49,57,1017,80
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-26,6,2,3+,2-3+,4,FAIR,2.2,7,1.1,18,1.2,14,4,4kts,54.0,55,57,1015,85
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-26,9,2,3+,2-3+,3,POOR TO FAIR,2.6,7,1.3,18,1.2,14,6,6kts,64.0,59,58,1016,90
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-26,12,3,4,3-4,3,POOR TO FAIR,1.4,18,2.4,7,1.5,13,8,8kts,61.0,59,62,1015,80
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-26,15,3,4,3-4,3,POOR TO FAIR,1.4,18,2.1,7,1.0,13,11,11kts,55.0,58,63,1013,75
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-26,18,2,3+,2-3+,2,POOR,1.5,17,1.9,7,1.3,12,10,10kts,55.0,57,61,1012,60
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-26,21,2,3+,2-3+,2,POOR,1.2,17,1.8,7,1.7,5,10,10kts,42.0,55,60,1012,30
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-27,0,2,3+,2-3+,2,POOR,3.3,6,1.2,16,1.0,13,12,12kts,52.0,58,58,1013,30
Seaside Reef,North San Diego County,Reef Break,32.603056,-117.252778,32.603056° N,-117.252778° W,2024-04-27,3,4,5,4-5,2,POOR,4.8,6,1.7,16,1.2,12,18,18kts,127.0,66,58,1011,25
