Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Surf (ft),Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-21,0,5,7,5-7,45419,5,FAIR TO GOOD,1.5,18,1.8,13,0.5,11,0,0kts,87.0,20,57,1017,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-21,3,5,7,5-7,45419,5,FAIR TO GOOD,1.6,18,1.7,13,0.5,11,0,0kts,88.0,20,58,1015,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-21,6,4,6+,4-6+,4-6+,5,FAIR TO GOOD,1.5,18,1.7,13,0.5,11,0,0kts,80.0,20,58,1015,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-21,9,5,7,5-7,45419,5,FAIR TO GOOD,1.5,18,1.6,13,0.5,10,0,0kts,77.0,20,59,1016,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-21,12,4,6+,4-6+,4-6+,4,FAIR,1.7,17,1.5,13,0.5,11,7,7kts,81.0,20,64,1014,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-21,15,4,6+,4-6+,4-6+,4,FAIR,1.8,17,1.4,12,0.5,10,7,7kts,84.0,21,61,1014,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-21,18,5,7,5-7,45419,4,FAIR,1.9,16,1.4,12,0.5,10,6,6kts,85.0,22,58,1013,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-21,21,5,7,5-7,45419,4,FAIR,1.9,16,1.4,12,0.5,10,3,3kts,90.0,23,55,1014,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-22,0,5,7,5-7,45419,4,FAIR,2.0,16,1.4,12,0.5,10,2,2kts,94.0,24,55,1013,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-22,3,5,7,5-7,45419,4,FAIR,2.0,16,1.4,12,0.5,10,2,2kts,94.0,24,55,1012,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-22,6,5,7,5-7,45419,4,FAIR,2.1,16,1.2,12,0.5,10,3,3kts,97.0,23,54,1012,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-22,9,4,6+,4-6+,4-6+,4,FAIR,2.0,16,1.2,12,0.5,10,4,4kts,89.0,23,55,1013,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-22,12,4,6+,4-6+,4-6+,4,FAIR,2.0,16,1.2,12,0.5,10,5,5kts,85.0,24,58,1013,100
The Wedge,North Orange County,Beach Break,33.169722,-117.585278,33.169722° N,-117.585278° W,2024-04-22,15,4,6+,4-6+,4-6+,4,FAIR,2.0,15,1.2,12,0.5,10,8,8kts,85.0,26,62,1012,100
