Surf Break,County,Surf Break Type,Latitude (N),Longitude (W),Latitude,Longitude,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Surf (ft),Rating Scale (1-5),Rating,Primary Swell (ft),Primary Swell (seconds),Secondary Swell 1 (ft),Secondary Swell 1 (seconds),Secondary Swell 2 (ft),Secondary Swell 2 (seconds),Wind (kts),Wind (kts).1,Wave Energy,Consistency,Weather (F),Pressure (mb),Probability (%)
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-21,0,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.8,13,1.4,18,0.9,17,6,6kts,77.0,36,57,1017,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-21,3,3,4,3-4,45355,3,POOR TO FAIR,1.5,17,1.7,13,0.8,16,2,2kts,77.0,36,57,1015,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-21,6,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.4,17,1.6,13,0.9,16,5,5kts,64.0,37,56,1016,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-21,9,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.4,17,1.6,13,0.9,16,5,5kts,62.0,39,55,1016,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-21,12,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.5,17,1.5,13,0.8,16,14,14kts,64.0,41,55,1015,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-21,15,2,3+,2-3+,2-3+,2,POOR,1.6,16,1.5,12,0.8,16,13,13kts,64.0,42,56,1014,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-21,18,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.6,16,1.4,12,0.9,16,9,9kts,65.0,43,56,1013,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-21,21,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.8,16,1.4,12,0.6,16,4,4kts,74.0,43,56,1013,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-22,0,2,3,2-3,45325,4,FAIR,1.8,16,1.3,12,0.9,16,1,1kts,72.0,43,55,1013,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-22,3,2,3,2-3,45325,4,FAIR,1.7,16,1.3,12,0.8,16,1,1kts,69.0,44,55,1012,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-22,6,2,3,2-3,45325,4,FAIR,1.8,16,1.2,12,0.8,16,1,1kts,67.0,44,55,1012,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-22,9,2,3,2-3,45325,4,FAIR,1.8,16,1.1,12,0.8,16,2,2kts,66.0,44,55,1013,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-22,12,2,3,2-3,45325,4,FAIR,1.8,16,1.1,12,0.8,16,2,2kts,65.0,43,57,1013,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-22,15,2,3,2-3,45325,3,POOR TO FAIR,1.7,15,1.2,12,0.8,16,8,8kts,60.0,43,55,1012,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-22,18,2,3,2-3,45325,3,POOR TO FAIR,1.8,15,1.2,12,0.8,16,5,5kts,64.0,42,55,1012,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-22,21,2,3,2-3,45325,3,POOR TO FAIR,1.8,15,1.2,12,0.9,16,3,3kts,66.0,42,55,1013,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-23,0,2,3,2-3,45325,4,FAIR,1.9,15,1.2,12,0.8,15,2,2kts,69.0,41,55,1014,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-23,3,2,3+,2-3+,2-3+,4,FAIR,2.3,15,0.7,15,1.5,5,7,7kts,117.0,39,57,1014,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-23,6,2,3+,2-3+,2-3+,4,FAIR,2.2,15,0.9,15,1.5,5,1,1kts,105.0,38,56,1015,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-23,9,2,3+,2-3+,2-3+,4,FAIR,2.0,15,1.0,11,1.4,5,2,2kts,79.0,40,57,1016,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-23,12,2,3,2-3,45325,3,POOR TO FAIR,1.9,15,1.0,11,1.3,5,7,7kts,71.0,42,62,1016,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-23,15,2,3,2-3,45325,3,POOR TO FAIR,1.8,15,1.0,11,0.7,14,9,9kts,63.0,42,61,1016,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-23,18,2,3,2-3,45325,3,POOR TO FAIR,1.6,14,0.8,18,1.0,11,8,8kts,44.0,42,60,1015,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-23,21,2,3,2-3,45325,3,POOR TO FAIR,1.2,17,0.9,14,1.0,11,5,5kts,34.0,43,58,1017,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-24,0,2,3,2-3,45325,3,POOR TO FAIR,1.6,15,1.3,13,0.7,15,4,4kts,54.0,42,56,1017,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-24,3,2,3,2-3,45325,4,FAIR,1.5,16,1.4,13,1.2,5,2,2kts,57.0,41,56,1017,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-24,6,2,3,2-3,45325,4,FAIR,1.8,16,1.0,11,1.5,5,4,4kts,63.0,40,55,1017,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-24,9,2,3,2-3,45325,4,FAIR,2.1,16,1.4,5,0.8,11,3,3kts,95.0,39,58,1018,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-24,12,2,3,2-3,45325,3,POOR TO FAIR,1.9,16,0.8,15,0.8,10,8,8kts,81.0,38,61,1018,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-24,15,2,3,2-3,45325,2,POOR,2.1,16,0.7,15,1.4,5,10,10kts,98.0,35,61,1017,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-24,18,2,3+,2-3+,2-3+,2,POOR,2.0,16,2.0,4,0.6,16,13,13kts,87.0,32,62,1016,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-24,21,3,4,3-4,45355,3,POOR TO FAIR,1.9,16,2.4,5,0.7,15,10,10kts,83.0,33,57,1018,95
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-25,0,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.5,15,2.4,5,1.0,12,9,9kts,45.0,39,55,1018,95
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-25,3,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.6,15,2.3,5,0.9,12,7,7kts,45.0,44,55,1017,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-25,6,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.7,15,2.2,5,0.9,12,3,3kts,49.0,45,55,1018,95
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-25,9,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.7,15,1.0,12,1.9,5,4,4kts,49.0,44,57,1019,70
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-25,12,2,3,2-3,45325,3,POOR TO FAIR,1.6,15,1.2,12,1.7,5,7,7kts,47.0,43,60,1019,55
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-25,15,2,3,2-3,45325,3,POOR TO FAIR,1.6,15,1.2,12,1.4,5,8,8kts,48.0,43,60,1018,90
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-25,18,2,3,2-3,45325,3,POOR TO FAIR,1.7,14,0.9,11,1.5,5,4,4kts,45.0,43,59,1016,30
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-25,21,2,3,2-3,45325,3,POOR TO FAIR,1.7,14,1.9,5,0.7,12,3,3kts,44.0,45,57,1017,35
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-26,0,3,4,3-4,45355,4,FAIR,1.4,13,2.4,6,1.0,14,6,6kts,37.0,52,56,1017,70
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-26,3,3,4,3-4,45355,4,FAIR,2.6,7,1.3,13,1.1,14,8,8kts,40.0,58,57,1016,85
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-26,6,2,3+,2-3+,2-3+,4,FAIR,1.4,13,2.1,6,1.0,14,6,6kts,35.0,53,58,1015,100
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-26,9,2,3+,2-3+,2-3+,4,FAIR,1.7,13,0.8,18,1.7,6,4,4kts,45.0,47,58,1015,95
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-26,12,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.6,13,0.9,18,1.6,6,6,6kts,45.0,45,60,1015,90
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-26,15,2,3,2-3,45325,3,POOR TO FAIR,1.2,13,0.9,18,1.0,14,8,8kts,33.0,43,60,1013,45
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-26,18,2,3,2-3,45325,3,POOR TO FAIR,1.2,13,1.0,17,0.8,13,9,9kts,31.0,44,60,1011,35
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-26,21,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.4,6,1.2,12,0.8,17,5,5kts,30.0,52,58,1011,65
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-27,0,3,4+,3-4+,3-4+,3,POOR TO FAIR,4.3,7,1.0,16,1.1,12,8,8kts,73.0,66,57,1011,65
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-27,3,3,4+,3-4+,3-4+,3,POOR TO FAIR,4.8,7,1.0,16,1.1,12,9,9kts,90.0,74,56,1009,65
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-27,6,4,5,4-5,45387,3,POOR TO FAIR,5.2,7,1.1,16,1.1,12,12,12kts,117.0,76,54,1009,25
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-27,9,4,6,4-6,45388,3,POOR TO FAIR,5.5,7,1.4,16,0.8,16,8,8kts,160.0,77,55,1010,50
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-27,12,4,6,4-6,45388,4,FAIR,5.5,8,1.4,16,0.8,16,4,4kts,167.0,78,60,1011,55
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-27,15,4,6,4-6,45388,3,POOR TO FAIR,6.1,7,1.3,16,0.8,16,13,13kts,190.0,78,61,1010,25
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-27,18,5,7,5-7,45419,2,POOR,6.9,8,1.4,16,0.8,12,20,20kts,258.0,79,62,1009,35
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-27,21,5,7,5-7,45419,2,POOR,6.8,8,1.4,16,0.8,12,17,17kts,258.0,79,58,1010,55
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-28,0,4,6,4-6,45388,3,POOR TO FAIR,5.9,8,1.3,15,0.7,16,9,9kts,186.0,78,57,1010,90
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-28,3,4,6,4-6,45388,4,FAIR,5.2,8,1.4,15,0.8,12,5,5kts,152.0,78,56,1012,70
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-28,6,4,5,4-5,45387,4,FAIR,4.5,7,1.3,15,0.7,15,2,2kts,99.0,76,56,1012,60
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-28,9,3,4+,3-4+,3-4+,4,FAIR,3.7,7,1.4,15,0.7,12,3,3kts,81.0,74,58,1014,75
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-28,12,3,4,3-4,45355,4,FAIR,3.2,7,1.3,15,0.6,15,5,5kts,54.0,70,63,1015,80
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-28,15,2,3+,2-3+,2-3+,3,POOR TO FAIR,2.8,7,1.3,15,0.6,15,10,10kts,43.0,66,62,1015,80
Venice,South Los Angeles County,Beach Break,33.985,-118.477778,33.985000° N,-118.477778° W,2024-04-28,18,2,3+,2-3+,2-3+,3,POOR TO FAIR,1.3,15,2.5,7,0.6,15,8,8kts,38.0,64,62,1015,60
